SEF	1.0.0
ID	203
Name	Binga 
Lat	2.3
Lon	20.5
Alt	400.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	ta
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1969	5	1	15	0	0	28.7	
1969	5	2	15	0	0	32.6	
1969	5	3	15	0	0	32.7	
1969	5	4	15	0	0	34.2	
1969	5	5	15	0	0	21.4	
1969	5	6	15	0	0	29.9	
1969	5	7	15	0	0	31.8	
1969	5	8	15	0	0	32.6	
1969	5	9	15	0	0	22.4	
1969	5	10	15	0	0	32.0	
1969	5	11	15	0	0	32.1	
1969	5	12	15	0	0	29.9	
1969	5	13	15	0	0	30.7	
1969	5	14	15	0	0	30.6	
1969	5	15	15	0	0	32.4	
1969	5	16	15	0	0	26.2	
1969	5	17	15	0	0	24.3	
1969	5	18	15	0	0	28.8	
1969	5	19	15	0	0	31.2	
1969	5	20	15	0	0	25.3	
1969	5	21	15	0	0	31.1	
1969	5	22	15	0	0	28.9	
1969	5	23	15	0	0	30.5	
1969	5	24	15	0	0	31.1	
1969	5	25	15	0	0	32.1	
1969	5	26	15	0	0	31.9	
1969	5	27	15	0	0	32.8	
1969	5	28	15	0	0	22.3	
1969	5	29	15	0	0	24.1	
1969	5	30	15	0	0	29.1	
1969	5	31	15	0	0	32.6	
1969	6	1	15	0	0	33.0	
1969	6	2	15	0	0	26.0	
1969	6	3	15	0	0	31.4	
1969	6	4	15	0	0	31.9	
1969	6	5	15	0	0	33.3	
1969	6	6	15	0	0	33.2	
1969	6	7	15	0	0	32.8	
1969	6	8	15	0	0	29.1	
1969	6	9	15	0	0	27.3	
1969	6	10	15	0	0	30.0	
1969	6	11	15	0	0	32.2	
1969	6	12	15	0	0	31.7	
1969	6	13	15	0	0	27.9	
1969	6	14	15	0	0	30.1	
1969	6	15	15	0	0	31.0	
1969	6	16	15	0	0	22.9	
1969	6	17	15	0	0	31.4	
1969	6	18	15	0	0	32.9	
1969	6	19	15	0	0	29.7	
1969	6	20	15	0	0	28.6	
1969	6	21	15	0	0	29.0	
1969	6	22	15	0	0	24.2	
1969	6	23	15	0	0	30.1	
1969	6	24	15	0	0	28.3	
1969	6	25	15	0	0	21.5	
1969	6	26	15	0	0	30.7	
1969	6	27	15	0	0	30.7	
1969	6	28	15	0	0	29.3	
1969	6	29	15	0	0	30.9	
1969	6	30	15	0	0	24.7	
