SEF	1.0.0
ID	203
Name	Binga 
Lat	2.3
Lon	20.5
Alt	400.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	Tx
Stat	maximum
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1969	5	1	0	0	0	28.7	
1969	5	2	0	0	0	32.6	
1969	5	3	0	0	0	34.2	
1969	5	4	0	0	0	34.7	
1969	5	5	0	0	0	34.6	
1969	5	6	0	0	0	30.1	
1969	5	7	0	0	0	31.8	
1969	5	8	0	0	0	32.8	
1969	5	9	0	0	0	30.7	
1969	5	10	0	0	0	32.5	
1969	5	11	0	0	0	32.1	
1969	5	12	0	0	0	30.4	
1969	5	13	0	0	0	31.4	
1969	5	14	0	0	0	30.7	
1969	5	15	0	0	0	32.9	
1969	5	16	0	0	0	26.3	
1969	5	17	0	0	0	NaN	
1969	5	18	0	0	0	30.5	
1969	5	19	0	0	0	31.8	
1969	5	20	0	0	0	31.5	
1969	5	21	0	0	0	31.1	
1969	5	22	0	0	0	29.2	
1969	5	23	0	0	0	31.9	
1969	5	24	0	0	0	31.1	
1969	5	25	0	0	0	32.1	
1969	5	26	0	0	0	31.9	
1969	5	27	0	0	0	32.9	
1969	5	28	0	0	0	31.6	
1969	5	29	0	0	0	31.6	
1969	5	30	0	0	0	30.0	
1969	5	31	0	0	0	32.6	
1969	6	1	0	0	0	33.5	
1969	6	2	0	0	0	31.1	
1969	6	3	0	0	0	31.4	
1969	6	4	0	0	0	32.4	
1969	6	5	0	0	0	33.3	
1969	6	6	0	0	0	33.3	
1969	6	7	0	0	0	32.8	
1969	6	8	0	0	0	29.1	
1969	6	9	0	0	0	27.6	
1969	6	10	0	0	0	31.4	
1969	6	11	0	0	0	32.2	
1969	6	12	0	0	0	32.2	
1969	6	13	0	0	0	29.7	
1969	6	14	0	0	0	30.1	
1969	6	15	0	0	0	31.2	
1969	6	16	0	0	0	30.1	
1969	6	17	0	0	0	31.7	
1969	6	18	0	0	0	32.9	
1969	6	19	0	0	0	32.6	
1969	6	20	0	0	0	29.2	
1969	6	21	0	0	0	29.0	
1969	6	22	0	0	0	25.2	
1969	6	23	0	0	0	30.6	
1969	6	24	0	0	0	29.5	
1969	6	25	0	0	0	28.6	
1969	6	26	0	0	0	30.7	
1969	6	27	0	0	0	30.8	
1969	6	28	0	0	0	29.6	
1969	6	29	0	0	0	30.9	
1969	6	30	0	0	0	30.7	
