SEF	1.0.0
ID	203
Name	Binga 
Lat	2.3
Lon	20.5
Alt	400.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	rr
Stat	sum
Units	mm
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1969	5	1	6	0	0	0.0	
1969	5	2	6	0	0	0.0	
1969	5	3	6	0	0	0.0	
1969	5	4	6	0	0	0.0	
1969	5	5	6	0	0	30.9	
1969	5	6	6	0	0	0.0	
1969	5	7	6	0	0	0.0	
1969	5	8	6	0	0	0.0	
1969	5	9	6	0	0	11.1	
1969	5	10	6	0	0	25.7	
1969	5	11	6	0	0	NaN	
1969	5	12	6	0	0	NaN	
1969	5	13	6	0	0	NaN	
1969	5	14	6	0	0	NaN	
1969	5	15	6	0	0	NaN	
1969	5	16	6	0	0	23.7	
1969	5	17	6	0	0	6.7	
1969	5	18	6	0	0	0.0	
1969	5	19	6	0	0	0.0	
1969	5	20	6	0	0	8.4	
1969	5	21	6	0	0	0.0	
1969	5	22	6	0	0	4.8	
1969	5	23	6	0	0	0.2	
1969	5	24	6	0	0	0.0	
1969	5	25	6	0	0	30.6	
1969	5	26	6	0	0	NaN	
1969	5	27	6	0	0	NaN	
1969	5	28	6	0	0	NaN	
1969	5	29	6	0	0	NaN	
1969	5	30	6	0	0	NaN	
1969	5	31	6	0	0	NaN	
1969	6	1	6	0	0	0.0	
1969	6	2	6	0	0	1.9	
1969	6	3	6	0	0	0.0	
1969	6	4	6	0	0	0.1	
1969	6	5	6	0	0	0.0	
1969	6	6	6	0	0	0.0	
1969	6	7	6	0	0	4.8	
1969	6	8	6	0	0	11.6	
1969	6	9	6	0	0	0.0	
1969	6	10	6	0	0	0.0	
1969	6	11	6	0	0	0.0	
1969	6	12	6	0	0	4.2	
1969	6	13	6	0	0	2.2	
1969	6	14	6	0	0	0.0	
1969	6	15	6	0	0	0.1	
1969	6	16	6	0	0	5.6	
1969	6	17	6	0	0	0.0	
1969	6	18	6	0	0	0.0	
1969	6	19	6	0	0	0.0	
1969	6	20	6	0	0	18.1	
1969	6	21	6	0	0	3.4	
1969	6	22	6	0	0	4.5	
1969	6	23	6	0	0	5.9	
1969	6	24	6	0	0	2.8	
1969	6	25	6	0	0	1.3	
1969	6	26	6	0	0	NaN	
1969	6	27	6	0	0	NaN	
1969	6	28	6	0	0	NaN	
1969	6	29	6	0	0	NaN	
1969	6	30	6	0	0	NaN	
