SEF	1.0.0
ID	203
Name	Binga 
Lat	2.3
Lon	20.5
Alt	400.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	tb
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1969	5	1	18	0	0	21.9	
1969	5	2	18	0	0	24.0	
1969	5	3	18	0	0	21.8	
1969	5	4	18	0	0	24.4	
1969	5	5	18	0	0	21.9	
1969	5	6	18	0	0	24.1	
1969	5	7	18	0	0	23.4	
1969	5	8	18	0	0	23.7	
1969	5	9	18	0	0	21.6	
1969	5	10	18	0	0	23.4	
1969	5	11	18	0	0	22.9	
1969	5	12	18	0	0	22.4	
1969	5	13	18	0	0	22.5	
1969	5	14	18	0	0	23.5	
1969	5	15	18	0	0	23.9	
1969	5	16	18	0	0	22.2	
1969	5	17	18	0	0	22.4	
1969	5	18	18	0	0	23.5	
1969	5	19	18	0	0	23.2	
1969	5	20	18	0	0	21.3	
1969	5	21	18	0	0	22.5	
1969	5	22	18	0	0	23.0	
1969	5	23	18	0	0	23.9	
1969	5	24	18	0	0	23.5	
1969	5	25	18	0	0	23.1	
1969	5	26	18	0	0	23.2	
1969	5	27	18	0	0	22.3	
1969	5	28	18	0	0	22.9	
1969	5	29	18	0	0	23.5	
1969	5	30	18	0	0	24.7	
1969	5	31	18	0	0	25.6	
1969	6	1	18	0	0	23.6	
1969	6	2	18	0	0	21.1	
1969	6	3	18	0	0	23.5	
1969	6	4	18	0	0	23.4	
1969	6	5	18	0	0	23.1	
1969	6	6	18	0	0	23.5	
1969	6	7	18	0	0	24.3	
1969	6	8	18	0	0	22.8	
1969	6	9	18	0	0	23.3	
1969	6	10	18	0	0	20.6	
1969	6	11	18	0	0	24.0	
1969	6	12	18	0	0	23.6	
1969	6	13	18	0	0	21.9	
1969	6	14	18	0	0	23.4	
1969	6	15	18	0	0	22.0	
1969	6	16	18	0	0	21.0	
1969	6	17	18	0	0	22.2	
1969	6	18	18	0	0	24.2	
1969	6	19	18	0	0	21.9	
1969	6	20	18	0	0	21.7	
1969	6	21	18	0	0	23.6	
1969	6	22	18	0	0	22.0	
1969	6	23	18	0	0	18.6	
1969	6	24	18	0	0	23.7	
1969	6	25	18	0	0	20.6	
1969	6	26	18	0	0	23.9	
1969	6	27	18	0	0	24.0	
1969	6	28	18	0	0	23.6	
1969	6	29	18	0	0	23.7	
1969	6	30	18	0	0	22.0	
