SEF	1.0.0
ID	209
Name	Loeka-Bumba
Lat	2.25
Lon	22.8167
Alt	430.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	ta
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1968	10	1	15	0	0	30.0	
1968	10	2	15	0	0	20.5	
1968	10	3	15	0	0	29.8	
1968	10	4	15	0	0	31.9	
1968	10	5	15	0	0	26.6	
1968	10	6	15	0	0	27.9	
1968	10	7	15	0	0	27.2	
1968	10	8	15	0	0	28.6	
1968	10	9	15	0	0	30.6	
1968	10	10	15	0	0	28.5	
1968	10	11	15	0	0	28.6	
1968	10	12	15	0	0	31.8	
1968	10	13	15	0	0	25.5	
1968	10	14	15	0	0	30.1	
1968	10	15	15	0	0	30.2	
1968	10	16	15	0	0	31.3	
1968	10	17	15	0	0	24.4	
1968	10	18	15	0	0	26.0	
1968	10	19	15	0	0	28.2	
1968	10	20	15	0	0	28.6	
1968	10	21	15	0	0	31.0	
1968	10	22	15	0	0	32.9	
1968	10	23	15	0	0	26.1	
1968	10	24	15	0	0	22.6	
1968	10	25	15	0	0	27.0	
1968	10	26	15	0	0	30.4	
1968	10	27	15	0	0	21.0	
1968	10	28	15	0	0	28.0	
1968	10	29	15	0	0	30.8	
1968	10	30	15	0	0	24.7	
1968	10	31	15	0	0	22.6	
