SEF	1.0.0
ID	209
Name	Loeka-Bumba
Lat	2.25
Lon	22.8167
Alt	430.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	Tn
Stat	minimum
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1968	10	1	0	0	0	17.2	
1968	10	2	0	0	0	18.7	
1968	10	3	0	0	0	19.8	
1968	10	4	0	0	0	17.0	
1968	10	5	0	0	0	19.8	
1968	10	6	0	0	0	19.9	
1968	10	7	0	0	0	19.6	
1968	10	8	0	0	0	19.8	
1968	10	9	0	0	0	19.6	
1968	10	10	0	0	0	20.2	
1968	10	11	0	0	0	19.0	
1968	10	12	0	0	0	18.4	
1968	10	13	0	0	0	19.8	
1968	10	14	0	0	0	18.4	
1968	10	15	0	0	0	17.2	
1968	10	16	0	0	0	19.3	
1968	10	17	0	0	0	18.6	
1968	10	18	0	0	0	19.4	
1968	10	19	0	0	0	20.2	
1968	10	20	0	0	0	20.3	
1968	10	21	0	0	0	20.2	
1968	10	22	0	0	0	19.8	
1968	10	23	0	0	0	20.2	
1968	10	24	0	0	0	20.7	
1968	10	25	0	0	0	20.0	
1968	10	26	0	0	0	19.5	
1968	10	27	0	0	0	20.2	
1968	10	28	0	0	0	19.5	
1968	10	29	0	0	0	17.0	
1968	10	30	0	0	0	18.6	
1968	10	31	0	0	0	19.0	
