SEF	1.0.0
ID	209
Name	Loeka-Bumba
Lat	2.25
Lon	22.8167
Alt	430.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	tb
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1968	10	1	15	0	0	22.4	
1968	10	2	15	0	0	18.4	
1968	10	3	15	0	0	21.7	
1968	10	4	15	0	0	20.8	
1968	10	5	15	0	0	25.8	
1968	10	6	15	0	0	25.8	
1968	10	7	15	0	0	24.5	
1968	10	8	15	0	0	25.5	
1968	10	9	15	0	0	19.2	
1968	10	10	15	0	0	21.0	
1968	10	11	15	0	0	20.9	
1968	10	12	15	0	0	21.3	
1968	10	13	15	0	0	19.8	
1968	10	14	15	0	0	22.2	
1968	10	15	15	0	0	20.6	
1968	10	16	15	0	0	21.7	
1968	10	17	15	0	0	21.8	
1968	10	18	15	0	0	19.7	
1968	10	19	15	0	0	21.0	
1968	10	20	15	0	0	20.8	
1968	10	21	15	0	0	21.4	
1968	10	22	15	0	0	23.9	
1968	10	23	15	0	0	22.1	
1968	10	24	15	0	0	20.6	
1968	10	25	15	0	0	21.6	
1968	10	26	15	0	0	20.2	
1968	10	27	15	0	0	19.2	
1968	10	28	15	0	0	18.8	
1968	10	29	15	0	0	19.2	
1968	10	30	15	0	0	22.3	
1968	10	31	15	0	0	20.3	
