SEF	1.0.0
ID	501
Name	Kisanga-Plateau
Lat	-11.7333
Lon	27.4167
Alt	1187.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	rr
Stat	sum
Units	mm
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1972	10	1	6	0	0	0.0	
1972	10	2	6	0	0	0.0	
1972	10	3	6	0	0	0.0	
1972	10	4	6	0	0	0.0	
1972	10	5	6	0	0	0.2	
1972	10	6	6	0	0	1.7	
1972	10	7	6	0	0	0.0	
1972	10	8	6	0	0	0.0	
1972	10	9	6	0	0	0.0	
1972	10	10	6	0	0	0.0	
1972	10	11	6	0	0	0.0	
1972	10	12	6	0	0	2.6	
1972	10	13	6	0	0	0.7	
1972	10	14	6	0	0	0.0	
1972	10	15	6	0	0	0.0	
1972	10	16	6	0	0	10.9	
1972	10	17	6	0	0	0.0	
1972	10	18	6	0	0	0.0	
1972	10	19	6	0	0	0.0	
1972	10	20	6	0	0	0.0	
1972	10	21	6	0	0	NaN	
1972	10	22	6	0	0	NaN	
1972	10	23	6	0	0	NaN	
1972	10	24	6	0	0	NaN	
1972	10	25	6	0	0	NaN	
1972	10	26	6	0	0	NaN	
1972	10	27	6	0	0	NaN	
1972	10	28	6	0	0	NaN	
1972	10	29	6	0	0	NaN	
1972	10	30	6	0	0	NaN	
1972	10	31	6	0	0	NaN	
