SEF	1.0.0
ID	508
Name	Kaniama-Kasese
Lat	nan
Lon	nan
Alt	nan
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	tb
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1988	2	1	15	0	0	NaN	
1988	2	2	15	0	0	NaN	
1988	2	3	15	0	0	NaN	
1988	2	4	15	0	0	19.5	
1988	2	5	15	0	0	NaN	
1988	2	6	15	0	0	NaN	
1988	2	7	15	0	0	NaN	
1988	2	8	15	0	0	NaN	
1988	2	9	15	0	0	NaN	
1988	2	10	15	0	0	NaN	
1988	2	11	15	0	0	23.2	
1988	2	12	15	0	0	19.8	
1988	2	13	15	0	0	21.9	
1988	2	14	15	0	0	19.1	
1988	2	15	15	0	0	23.1	
1988	2	16	15	0	0	NaN	
1988	2	17	15	0	0	NaN	
1988	2	18	15	0	0	NaN	
1988	2	19	15	0	0	NaN	
1988	2	20	15	0	0	NaN	
1988	2	21	15	0	0	24.0	
1988	2	22	15	0	0	24.8	
1988	2	23	15	0	0	20.9	
1988	2	24	15	0	0	22.8	
1988	2	25	15	0	0	25.0	
1988	2	26	15	0	0	NaN	
1988	2	27	15	0	0	NaN	
1988	2	28	15	0	0	NaN	
1988	2	29	15	0	0	NaN	
