SEF	1.0.0
ID	601
Name	Mulungu-Mulohe
Lat	-2.3
Lon	28.7833
Alt	1731.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	Tx
Stat	maximum
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1967	5	1	0	0	0	25.0	
1967	5	2	0	0	0	23.9	
1967	5	3	0	0	0	NaN	
1967	5	4	0	0	0	21.6	
1967	5	5	0	0	0	NaN	
1967	5	6	0	0	0	22.5	
1967	5	7	0	0	0	22.5	
1967	5	8	0	0	0	23.6	
1967	5	9	0	0	0	21.8	
1967	5	10	0	0	0	24.6	
1967	5	11	0	0	0	24.9	
1967	5	12	0	0	0	25.0	
1967	5	13	0	0	0	20.0	
1967	5	14	0	0	0	21.9	
1967	5	15	0	0	0	20.6	
1967	5	16	0	0	0	22.6	
1967	5	17	0	0	0	22.5	
1967	5	18	0	0	0	23.5	
1967	5	19	0	0	0	21.8	
1967	5	20	0	0	0	21.9	
1967	5	21	0	0	0	21.6	
1967	5	22	0	0	0	24.2	
1967	5	23	0	0	0	24.1	
1967	5	24	0	0	0	25.0	
1967	5	25	0	0	0	24.2	
1967	5	26	0	0	0	24.5	
1967	5	27	0	0	0	24.5	
1967	5	28	0	0	0	23.7	
1967	5	29	0	0	0	22.4	
1967	5	30	0	0	0	23.2	
1967	5	31	0	0	0	23.4	
