SEF	1.0.0
ID	601
Name	Mulungu-Mulohe
Lat	-2.3
Lon	28.7833
Alt	1731.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	tb
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1967	5	1	18	0	0	NaN	
1967	5	2	18	0	0	NaN	
1967	5	3	18	0	0	NaN	
1967	5	4	18	0	0	NaN	
1967	5	5	18	0	0	NaN	
1967	5	6	18	0	0	NaN	
1967	5	7	18	0	0	NaN	
1967	5	8	18	0	0	13.9	
1967	5	9	18	0	0	NaN	
1967	5	10	18	0	0	NaN	
1967	5	11	18	0	0	16.0	
1967	5	12	18	0	0	17.2	
1967	5	13	18	0	0	16.4	
1967	5	14	18	0	0	16.3	
1967	5	15	18	0	0	16.9	
1967	5	16	18	0	0	15.9	
1967	5	17	18	0	0	16.5	
1967	5	18	18	0	0	16.8	
1967	5	19	18	0	0	13.8	
1967	5	20	18	0	0	17.1	
1967	5	21	18	0	0	15.6	
1967	5	22	18	0	0	14.0	
1967	5	23	18	0	0	15.8	
1967	5	24	18	0	0	16.3	
1967	5	25	18	0	0	15.9	
1967	5	26	18	0	0	15.7	
1967	5	27	18	0	0	16.0	
1967	5	28	18	0	0	17.0	
1967	5	29	18	0	0	16.8	
1967	5	30	18	0	0	15.2	
1967	5	31	18	0	0	14.5	
