SEF	1.0.0
ID	702
Name	Nioka-Lekwa
Lat	2.1167
Lon	30.6333
Alt	1677.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	Ta
Stat	mean
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1964	2	1	0	0	0	18.5	
1964	2	2	0	0	0	19.2	
1964	2	3	0	0	0	18.4	
1964	2	4	0	0	0	17.4	
1964	2	5	0	0	0	18.4	
1964	2	6	0	0	0	19.0	
1964	2	7	0	0	0	18.4	
1964	2	8	0	0	0	18.3	
1964	2	9	0	0	0	18.3	
1964	2	10	0	0	0	18.5	
1964	2	11	0	0	0	18.7	
1964	2	12	0	0	0	19.3	
1964	2	13	0	0	0	19.3	
1964	2	14	0	0	0	18.7	
1964	2	15	0	0	0	18.7	
1964	2	16	0	0	0	17.8	
1964	2	17	0	0	0	17.0	
1964	2	18	0	0	0	18.1	
1964	2	19	0	0	0	19.3	
1964	2	20	0	0	0	19.5	
1964	2	21	0	0	0	19.1	
1964	2	22	0	0	0	18.5	
1964	2	23	0	0	0	19.0	
1964	2	24	0	0	0	19.8	
1964	2	25	0	0	0	18.3	
1964	2	26	0	0	0	18.9	
1964	2	27	0	0	0	18.9	
1964	2	28	0	0	0	18.5	
1964	2	29	0	0	0	19.3	
1964	4	1	0	0	0	19.9	
1964	4	2	0	0	0	20.3	
1964	4	3	0	0	0	19.3	
1964	4	4	0	0	0	19.9	
1964	4	5	0	0	0	19.6	
1964	4	6	0	0	0	18.4	
1964	4	7	0	0	0	19.8	
1964	4	8	0	0	0	18.1	
1964	4	9	0	0	0	19.6	
1964	4	10	0	0	0	20.4	
1964	4	11	0	0	0	19.1	
1964	4	12	0	0	0	19.3	
1964	4	13	0	0	0	19.8	
1964	4	14	0	0	0	19.8	
1964	4	15	0	0	0	19.5	
1964	4	16	0	0	0	19.3	
1964	4	17	0	0	0	18.9	
1964	4	18	0	0	0	18.9	
1964	4	19	0	0	0	18.7	
1964	4	20	0	0	0	18.5	
1964	4	21	0	0	0	18.6	
1964	4	22	0	0	0	18.7	
1964	4	23	0	0	0	17.4	
1964	4	24	0	0	0	18.1	
1964	4	25	0	0	0	19.5	
1964	4	26	0	0	0	18.5	
1964	4	27	0	0	0	17.9	
1964	4	28	0	0	0	18.1	
1964	4	29	0	0	0	18.7	
1964	4	30	0	0	0	19.3	
