SEF	1.0.0
ID	702
Name	Nioka-Lekwa
Lat	2.1167
Lon	30.6333
Alt	1677.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	ta
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1964	2	1	15	0	0	25.8	
1964	2	2	15	0	0	19.6	
1964	2	3	15	0	0	15.4	
1964	2	4	15	0	0	19.3	
1964	2	5	15	0	0	21.4	
1964	2	6	15	0	0	26.3	
1964	2	7	15	0	0	25.4	
1964	2	8	15	0	0	18.9	
1964	2	9	15	0	0	14.9	
1964	2	10	15	0	0	25.5	
1964	2	11	15	0	0	25.8	
1964	2	12	15	0	0	25.9	
1964	2	13	15	0	0	28.0	
1964	2	14	15	0	0	25.6	
1964	2	15	15	0	0	23.6	
1964	2	16	15	0	0	24.7	
1964	2	17	15	0	0	21.0	
1964	2	18	15	0	0	17.6	
1964	2	19	15	0	0	22.9	
1964	2	20	15	0	0	27.0	
1964	2	21	15	0	0	NaN	
1964	2	22	15	0	0	NaN	
1964	2	23	15	0	0	NaN	
1964	2	24	15	0	0	NaN	
1964	2	25	15	0	0	NaN	
1964	2	26	15	0	0	26.6	
1964	2	27	15	0	0	22.0	
1964	2	28	15	0	0	23.4	
1964	2	29	15	0	0	26.6	
1964	4	1	15	0	0	17.7	
1964	4	2	15	0	0	21.3	
1964	4	3	15	0	0	22.2	
1964	4	4	15	0	0	20.0	
1964	4	5	15	0	0	22.1	
1964	4	6	15	0	0	22.3	
1964	4	7	15	0	0	24.3	
1964	4	8	15	0	0	23.8	
1964	4	9	15	0	0	22.6	
1964	4	10	15	0	0	25.7	
1964	4	11	15	0	0	22.4	
1964	4	12	15	0	0	24.5	
1964	4	13	15	0	0	23.4	
1964	4	14	15	0	0	20.7	
1964	4	15	15	0	0	24.6	
1964	4	16	15	0	0	18.4	
1964	4	17	15	0	0	18.0	
1964	4	18	15	0	0	19.8	
1964	4	19	15	0	0	19.6	
1964	4	20	15	0	0	23.6	
1964	4	21	15	0	0	15.0	
1964	4	22	15	0	0	21.2	
1964	4	23	15	0	0	16.9	
1964	4	24	15	0	0	23.9	
1964	4	25	15	0	0	24.0	
1964	4	26	15	0	0	25.8	
1964	4	27	15	0	0	25.4	
1964	4	28	15	0	0	25.2	
1964	4	29	15	0	0	26.1	
1964	4	30	15	0	0	24.8	
