SEF	1.0.0
ID	702
Name	Nioka-Lekwa
Lat	2.1167
Lon	30.6333
Alt	1677.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	rr
Stat	sum
Units	mm
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1964	2	1	6	0	0	0.0	
1964	2	2	6	0	0	1.2	
1964	2	3	6	0	0	6.5	
1964	2	4	6	0	0	0.0	
1964	2	5	6	0	0	0.0	
1964	2	6	6	0	0	0.0	
1964	2	7	6	0	0	1.0	
1964	2	8	6	0	0	0.5	
1964	2	9	6	0	0	16.7	
1964	2	10	6	0	0	21.6	
1964	2	11	6	0	0	0.1	
1964	2	12	6	0	0	0.0	
1964	2	13	6	0	0	0.2	
1964	2	14	6	0	0	0.0	
1964	2	15	6	0	0	0.0	
1964	2	16	6	0	0	0.0	
1964	2	17	6	0	0	0.9	
1964	2	18	6	0	0	7.1	
1964	2	19	6	0	0	5.5	
1964	2	20	6	0	0	0.0	
1964	2	21	6	0	0	0.0	
1964	2	22	6	0	0	6.8	
1964	2	23	6	0	0	1.7	
1964	2	24	6	0	0	0.0	
1964	2	25	6	0	0	0.0	
1964	2	26	6	0	0	0.0	
1964	2	27	6	0	0	0.0	
1964	2	28	6	0	0	0.0	
1964	2	29	6	0	0	0.0	
1964	4	1	6	0	0	NaN	
1964	4	2	6	0	0	NaN	
1964	4	3	6	0	0	NaN	
1964	4	4	6	0	0	NaN	
1964	4	5	6	0	0	NaN	
1964	4	6	6	0	0	NaN	
1964	4	7	6	0	0	NaN	
1964	4	8	6	0	0	NaN	
1964	4	9	6	0	0	NaN	
1964	4	10	6	0	0	NaN	
1964	4	11	6	0	0	0.3	
1964	4	12	6	0	0	0.1	
1964	4	13	6	0	0	0.2	
1964	4	14	6	0	0	21.1	
1964	4	15	6	0	0	5.7	
1964	4	16	6	0	0	6.6	
1964	4	17	6	0	0	17.7	
1964	4	18	6	0	0	13.2	
1964	4	19	6	0	0	32.8	
1964	4	20	6	0	0	6.6	
1964	4	21	6	0	0	NaN	
1964	4	22	6	0	0	NaN	
1964	4	23	6	0	0	NaN	
1964	4	24	6	0	0	NaN	
1964	4	25	6	0	0	NaN	
1964	4	26	6	0	0	0.0	
1964	4	27	6	0	0	0.0	
1964	4	28	6	0	0	0.0	
1964	4	29	6	0	0	0.0	
1964	4	30	6	0	0	0.0	
