SEF	1.0.0
ID	702
Name	Nioka-Lekwa
Lat	2.1167
Lon	30.6333
Alt	1677.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	Tn
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription software: MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver)
Year	Month	Day	Hour	Minute	Period	Value	Meta
1964	2	1	0	0	0	9.2	
1964	2	2	0	0	0	11.5	
1964	2	3	0	0	0	10.9	
1964	2	4	0	0	0	12.9	
1964	2	5	0	0	0	10.5	
1964	2	6	0	0	0	NaN	
1964	2	7	0	0	0	NaN	
1964	2	8	0	0	0	11.3	
1964	2	9	0	0	0	NaN	
1964	2	10	0	0	0	11.0	
1964	2	11	0	0	0	10.9	
1964	2	12	0	0	0	10.6	
1964	2	13	0	0	0	10.4	
1964	2	14	0	0	0	12.6	
1964	2	15	0	0	0	12.2	
1964	2	16	0	0	0	NaN	
1964	2	17	0	0	0	9.6	
1964	2	18	0	0	0	17.1	
1964	2	19	0	0	0	11.6	
1964	2	20	0	0	0	10.7	
1964	2	21	0	0	0	10.2	
1964	2	22	0	0	0	12.8	
1964	2	23	0	0	0	14.7	
1964	2	24	0	0	0	12.8	
1964	2	25	0	0	0	10.54	
1964	2	26	0	0	0	10.9	
1964	2	27	0	0	0	10.7	
1964	2	28	0	0	0	8.6	
1964	2	29	0	0	0	11.4	
1964	4	1	0	0	0	13.8	
1964	4	2	0	0	0	15.1	
1964	4	3	0	0	0	14.5	
1964	4	4	0	0	0	14.6	
1964	4	5	0	0	0	14.8	
1964	4	6	0	0	0	NaN	
1964	4	7	0	0	0	13.9	
1964	4	8	0	0	0	NaN	
1964	4	9	0	0	0	12.6	
1964	4	10	0	0	0	14.1	
1964	4	11	0	0	0	14.3	
1964	4	12	0	0	0	NaN	
1964	4	13	0	0	0	NaN	
1964	4	14	0	0	0	14.1	
1964	4	15	0	0	0	NaN	
1964	4	16	0	0	0	NaN	
1964	4	17	0	0	0	15.4	
1964	4	18	0	0	0	13.3	
1964	4	19	0	0	0	13.8	
1964	4	20	0	0	0	NaN	
1964	4	21	0	0	0	NaN	
1964	4	22	0	0	0	13.7	
1964	4	23	0	0	0	NaN	
1964	4	24	0	0	0	12.0	
1964	4	25	0	0	0	13.9	
1964	4	26	0	0	0	11.1	
1964	4	27	0	0	0	9.7	
1964	4	28	0	0	0	18.0	
1964	4	29	0	0	0	10.4	
1964	4	30	0	0	0	NaN	
