SEF	1.0.0
ID	702
Name	Nioka-Lekwa
Lat	2.1167
Lon	30.6333
Alt	1677.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	Tx
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription software: MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver)
Year	Month	Day	Hour	Minute	Period	Value	Meta
1964	2	1	0	0	0	27.8	
1964	2	2	0	0	0	26.9	
1964	2	3	0	0	0	25.9	
1964	2	4	0	0	0	21.9	
1964	2	5	0	0	0	27.3	
1964	2	6	0	0	0	NaN	
1964	2	7	0	0	0	NaN	
1964	2	8	0	0	0	25.4	
1964	2	9	0	0	0	NaN	
1964	2	10	0	0	0	26.0	
1964	2	11	0	0	0	25.9	
1964	2	12	0	0	0	28.0	
1964	2	13	0	0	0	28.2	
1964	2	14	0	0	0	24.5	
1964	2	15	0	0	0	25.2	
1964	2	16	0	0	0	32.7	
1964	2	17	0	0	0	24.4	
1964	2	18	0	0	0	19.1	
1964	2	19	0	0	0	27.0	
1964	2	20	0	0	0	28.3	
1964	2	21	0	0	0	27.9	
1964	2	22	0	0	0	24.2	
1964	2	23	0	0	0	23.3	
1964	2	24	0	0	0	26.8	
1964	2	25	0	0	0	26.3	
1964	2	26	0	0	0	26.8	
1964	2	27	0	0	0	27.1	
1964	2	28	0	0	0	28.4	
1964	2	29	0	0	0	27.2	
1964	4	1	0	0	0	25.9	
1964	4	2	0	0	0	25.5	
1964	4	3	0	0	0	24.9	
1964	4	4	0	0	0	25.3	
1964	4	5	0	0	0	24.4	
1964	4	6	0	0	0	NaN	
1964	4	7	0	0	0	25.7	
1964	4	8	0	0	0	NaN	
1964	4	9	0	0	0	26.8	
1964	4	10	0	0	0	27.5	
1964	4	11	0	0	0	23.9	
1964	4	12	0	0	0	NaN	
1964	4	13	0	0	0	NaN	
1964	4	14	0	0	0	25.5	
1964	4	15	0	0	0	NaN	
1964	4	16	0	0	0	NaN	
1964	4	17	0	0	0	22.5	
1964	4	18	0	0	0	24.5	
1964	4	19	0	0	0	23.7	
1964	4	20	0	0	0	NaN	
1964	4	21	0	0	0	NaN	
1964	4	22	0	0	0	23.7	
1964	4	23	0	0	0	NaN	
1964	4	24	0	0	0	24.1	
1964	4	25	0	0	0	25.2	
1964	4	26	0	0	0	25.9	
1964	4	27	0	0	0	26.1	
1964	4	28	0	0	0	26.2	
1964	4	29	0	0	0	26.9	
1964	4	30	0	0	0	26.1	
