SEF	1.0.0
ID	702
Name	Nioka-Lekwa
Lat	2.1167
Lon	30.6333
Alt	1677.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	tb
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1964	2	1	15	0	0	12.1	
1964	2	2	15	0	0	18.6	
1964	2	3	15	0	0	14.7	
1964	2	4	15	0	0	16.8	
1964	2	5	15	0	0	18.4	
1964	2	6	15	0	0	17.1	
1964	2	7	15	0	0	15.5	
1964	2	8	15	0	0	17.3	
1964	2	9	15	0	0	14.7	
1964	2	10	15	0	0	13.7	
1964	2	11	15	0	0	13.4	
1964	2	12	15	0	0	14.2	
1964	2	13	15	0	0	13.3	
1964	2	14	15	0	0	14.8	
1964	2	15	15	0	0	12.4	
1964	2	16	15	0	0	17.2	
1964	2	17	15	0	0	16.2	
1964	2	18	15	0	0	16.0	
1964	2	19	15	0	0	18.6	
1964	2	20	15	0	0	18.7	
1964	2	21	15	0	0	18.8	
1964	2	22	15	0	0	17.8	
1964	2	23	15	0	0	18.1	
1964	2	24	15	0	0	17.6	
1964	2	25	15	0	0	17.1	
1964	2	26	15	0	0	18.0	
1964	2	27	15	0	0	16.2	
1964	2	28	15	0	0	17.4	
1964	2	29	15	0	0	17.6	
1964	4	1	15	0	0	17.3	
1964	4	2	15	0	0	17.9	
1964	4	3	15	0	0	17.9	
1964	4	4	15	0	0	17.2	
1964	4	5	15	0	0	17.1	
1964	4	6	15	0	0	NaN	
1964	4	7	15	0	0	NaN	
1964	4	8	15	0	0	17.3	
1964	4	9	15	0	0	NaN	
1964	4	10	15	0	0	13.9	
1964	4	11	15	0	0	17.6	
1964	4	12	15	0	0	18.2	
1964	4	13	15	0	0	17.5	
1964	4	14	15	0	0	18.1	
1964	4	15	15	0	0	18.7	
1964	4	16	15	0	0	17.2	
1964	4	17	15	0	0	17.2	
1964	4	18	15	0	0	17.6	
1964	4	19	15	0	0	17.0	
1964	4	20	15	0	0	16.8	
1964	4	21	15	0	0	14.8	
1964	4	22	15	0	0	17.2	
1964	4	23	15	0	0	15.8	
1964	4	24	15	0	0	18.3	
1964	4	25	15	0	0	17.6	
1964	4	26	15	0	0	18.4	
1964	4	27	15	0	0	17.6	
1964	4	28	15	0	0	17.2	
1964	4	29	15	0	0	18.2	
1964	4	30	15	0	0	17.8	
