SEF	1.0.0
ID	904
Name	Rwindi
Lat	-0.7833
Lon	29.2833
Alt	1040.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	tb
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1972	8	1	15	0	0	NaN	
1972	8	2	15	0	0	NaN	
1972	8	3	15	0	0	NaN	
1972	8	4	15	0	0	NaN	
1972	8	5	15	0	0	NaN	
1972	8	6	15	0	0	20.0	
1972	8	7	15	0	0	21.6	
1972	8	8	15	0	0	19.9	
1972	8	9	15	0	0	19.4	
1972	8	10	15	0	0	21.2	
1972	8	11	15	0	0	NaN	
1972	8	12	15	0	0	17.0	
1972	8	13	15	0	0	18.2	
1972	8	14	15	0	0	17.1	
1972	8	15	15	0	0	17.1	
1972	8	16	15	0	0	19.4	
1972	8	17	15	0	0	21.2	
1972	8	18	15	0	0	18.1	
1972	8	19	15	0	0	18.1	
1972	8	20	15	0	0	19.8	
1972	8	21	15	0	0	NaN	
1972	8	22	15	0	0	NaN	
1972	8	23	15	0	0	19.0	
1972	8	24	15	0	0	16.6	
1972	8	25	15	0	0	19.1	
1972	8	26	15	0	0	20.48	
1972	8	27	15	0	0	20.0	
1972	8	28	15	0	0	15.1	
1972	8	29	15	0	0	17.8	
1972	8	30	15	0	0	16.3	
1972	8	31	15	0	0	21.8	
